Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 to $249,999","$250,000 and over"
35,35061,Mississauga--Lakeshore,44460,3405503000,3400,2260,3030,2810,2450,2070,2110,2020,1980,2010,1750,1560,2800,2330,1930,1630,4040,2470,1810
35,35062,Mississauga--Malton,47040,2008835000,6040,3270,4310,4040,3260,2580,2470,2460,2190,2030,1750,1620,2610,2040,1580,1220,2480,810,280
35,35063,Mississauga--Streetsville,45030,2593630000,4310,2490,3220,2800,2400,1990,1910,1990,1940,1980,1770,1690,3050,2730,2170,1910,4400,1640,650
35,35064,Nepean,43050,2778448000,3030,2050,2620,2290,1930,1630,1530,1600,1720,1790,1710,1640,3340,2980,2860,2360,5550,1810,610
35,35065,Newmarket--Aurora,44550,2924398000,3660,2430,3120,2800,2220,1920,1970,1810,1850,1820,1710,1620,2800,2530,2230,2040,4860,2180,990
35,35066,Niagara Centre,43050,2002289000,2840,2210,3550,3000,2900,2690,2900,2760,2610,2450,2120,1780,2930,2090,1600,1330,2390,740,200
35,35067,Niagara Falls,53560,2636947000,3200,2960,4290,4210,3930,3360,3170,3310,3110,2860,2500,2230,3510,2540,1970,1650,3250,1060,480
35,35068,Niagara West,35000,2242060000,1630,1400,1840,1860,1980,1700,1720,1800,1830,1710,1590,1540,2800,2390,1980,1670,3650,1410,530
35,35069,Nickel Belt,37610,2184174000,1710,1360,2260,2100,1980,1680,1810,2300,2100,2120,1820,1720,2930,2430,2200,1900,4050,940,220
35,35070,Nipissing--Timiskaming,35860,1805448000,2140,1710,2980,2870,2640,2000,1950,1950,1950,1910,1610,1570,2700,1950,1350,1080,2450,750,290
35,35071,Northumberland--Peterborough South,45310,2536240000,2280,1900,2850,2990,2950,2380,2470,2660,2740,2600,2260,2100,3420,2730,1940,1640,3660,1260,490
35,35072,Oakville,45470,4947626000,3710,2210,2800,2380,2170,1710,1700,1660,1630,1600,1410,1290,2490,2220,1920,1770,5440,3910,3460
35,35073,Oakville North--Burlington,46060,3850056000,3820,2280,2520,2210,1790,1460,1570,1570,1420,1520,1440,1430,2790,2600,2490,2380,7010,3820,1950
35,35074,Oshawa,46790,2282506000,3230,2520,3780,3170,2830,2350,2400,2730,2890,2810,2370,2120,3420,2700,1950,1520,3000,780,250
35,35075,Ottawa Centre,43430,3355665000,2940,2120,3280,2820,1970,1620,1500,1550,1500,1550,1420,1440,2790,2550,2360,2040,5770,2820,1410
